recorded_at_utc	git_commit	git_branch	cv_log_loss	delta	best_epoch	status	description	cv_rps	val_log_loss	test_log_loss	cv_metrics_json	test_metrics_json
2026-03-08T23:31:02.586539+00:00	0ff67e3	codex/experiment/league-residual-bias	0.969621	0.000009	2	keep	league-residual-bias	0.195706	0.965912	0.973519	"{""accuracy"":0.5443431781258377,""avg_profit"":0.03415252638396756,""brier"":0.5764223236418012,""log_loss"":0.9696205939021088,""n_bets"":772.6666666666666,""rps"":0.19570620827749083,""total_profit"":20.466666666666672}"	"{""accuracy"":0.5355731225296443,""avg_profit"":-0.020864661654135315,""brier"":0.578924435511452,""log_loss"":0.9735190442425395,""n_bets"":532,""rps"":0.19542262581935418,""total_profit"":-11.099999999999987}"
2026-03-09T19:33:47.929365+00:00	729eb25	codex/experiment/resnet-backbone	0.969540	0.000080	2	keep	resnet-backbone	0.195555	0.965042	0.976339	"{""accuracy"":0.5394789382454838,""avg_profit"":0.014233666840453353,""brier"":0.5763446687855,""log_loss"":0.969540266989839,""n_bets"":520.0,""rps"":0.19555543392474414,""total_profit"":22.12}"	"{""accuracy"":0.5355731225296443,""avg_profit"":0.03310924369747899,""brier"":0.5802879829182468,""log_loss"":0.9763393578799534,""n_bets"":595,""rps"":0.1959419018043824,""total_profit"":19.7}"
2026-03-09T19:40:02.692739+00:00	729eb25	codex/experiment/resnet-backbone	0.969278	0.000262	2	keep	resnet-backbone	0.195532	0.964327	0.976197	"{""accuracy"":0.5412148002282056,""avg_profit"":0.048324457868815514,""brier"":0.5762114204855435,""log_loss"":0.9692784556467932,""n_bets"":450.6666666666667,""rps"":0.195531676548467,""total_profit"":35.48}"	"{""accuracy"":0.5385375494071146,""avg_profit"":0.028701067615658354,""brier"":0.5802335717763832,""log_loss"":0.9761972349240484,""n_bets"":562,""rps"":0.19593070453160297,""total_profit"":16.129999999999995}"
2026-03-09T19:46:53.726174+00:00	729eb25	codex/experiment/resnet-backbone	0.969615	-0.000336	2	discard	resnet-backbone	0.195635	0.963358	0.975852	"{""accuracy"":0.542240579675345,""avg_profit"":0.058326181353767555,""brier"":0.5765185583906103,""log_loss"":0.9696146544897924,""n_bets"":260.0,""rps"":0.1956346500959216,""total_profit"":22.73333333333333}"	"{""accuracy"":0.5345849802371542,""avg_profit"":0.019101796407185644,""brier"":0.5800729115400733,""log_loss"":0.975851632482079,""n_bets"":501,""rps"":0.1958807962365845,""total_profit"":9.570000000000007}"
2026-03-09T19:48:27.216314+00:00	729eb25	codex/experiment/resnet-backbone	0.969384	0.000231	2	keep	resnet-backbone	0.195568	0.963758	0.975984	"{""accuracy"":0.5405139630009878,""avg_profit"":0.004839617556516726,""brier"":0.576313463071715,""log_loss"":0.9693837941955393,""n_bets"":365.6666666666667,""rps"":0.19556788076245812,""total_profit"":20.213333333333328}"	"{""accuracy"":0.5345849802371542,""avg_profit"":0.014321223709369018,""brier"":0.5801383033210127,""log_loss"":0.9759837220737784,""n_bets"":523,""rps"":0.1959035017262847,""total_profit"":7.489999999999997}"
2026-03-09T19:54:40.674840+00:00	729eb25	codex/experiment/resnet-backbone	0.969456	-0.000073	2	discard	resnet-backbone	0.195591	0.963418	0.975897	"{""accuracy"":0.5420298766008984,""avg_profit"":0.04274048983733086,""brier"":0.5763849130974759,""log_loss"":0.9694563850055998,""n_bets"":316.0,""rps"":0.19559057482117814,""total_profit"":26.53}"	"{""accuracy"":0.5345849802371542,""avg_profit"":0.02443359375000001,""brier"":0.5800967789961984,""log_loss"":0.9758967923615144,""n_bets"":512,""rps"":0.19588997807107505,""total_profit"":12.510000000000005}"
2026-03-09T19:55:55.599432+00:00	729eb25	codex/experiment/resnet-backbone	0.969832	-0.000376	2	discard	resnet-backbone	0.195639	0.963472	0.976032	"{""accuracy"":0.5407051058999518,""avg_profit"":0.029275487501351893,""brier"":0.5766171730360451,""log_loss"":0.9698324436339036,""n_bets"":321.6666666666667,""rps"":0.1956391074433991,""total_profit"":15.240000000000004}"	"{""accuracy"":0.5365612648221344,""avg_profit"":0.013171641791044787,""brier"":0.5801817050248395,""log_loss"":0.9760319762886864,""n_bets"":536,""rps"":0.19593165991189349,""total_profit"":7.060000000000006}"
2026-03-09T19:57:24.840121+00:00	729eb25	codex/experiment/resnet-backbone	0.969384	0.000449	2	keep	resnet-backbone	0.195568	0.963758	0.975984	"{""accuracy"":0.5405139630009878,""avg_profit"":0.004839617556516726,""brier"":0.576313463071715,""log_loss"":0.9693837941955393,""n_bets"":365.6666666666667,""rps"":0.19556788076245812,""total_profit"":20.213333333333328}"	"{""accuracy"":0.5345849802371542,""avg_profit"":0.014321223709369018,""brier"":0.5801383033210127,""log_loss"":0.9759837220737784,""n_bets"":523,""rps"":0.1959035017262847,""total_profit"":7.489999999999997}"
2026-03-09T19:59:43.913772+00:00	7df7baa	codex/experiment/resnet-backbone	0.969278	0.000105	2	keep	resnet-backbone	0.195532	0.964327	0.976197	"{""accuracy"":0.5412148002282056,""avg_profit"":0.048324457868815514,""brier"":0.5762114204855435,""log_loss"":0.9692784556467932,""n_bets"":450.6666666666667,""rps"":0.195531676548467,""total_profit"":35.48}"	"{""accuracy"":0.5385375494071146,""avg_profit"":0.028701067615658354,""brier"":0.5802335717763832,""log_loss"":0.9761972349240484,""n_bets"":562,""rps"":0.19593070453160297,""total_profit"":16.129999999999995}"
2026-03-09T23:16:37.043993+00:00	70c997e	codex/experiment/cross-resnet-backbone	0.968616	0.000662	1	keep	cross-resnet-backbone	0.195492	0.966433	0.973316	"{""accuracy"":0.542039924078328,""avg_profit"":0.14195468387673568,""brier"":0.5758207688446162,""log_loss"":0.968616205289191,""n_bets"":349.3333333333333,""rps"":0.1954917897615365,""total_profit"":47.800000000000004}"	"{""accuracy"":0.5365612648221344,""avg_profit"":-0.007249999999999984,""brier"":0.5789651448335126,""log_loss"":0.973316231033116,""n_bets"":40,""rps"":0.19552171370179844,""total_profit"":-0.28999999999999937}"
2026-03-09T23:22:38.102865+00:00	70c997e	codex/experiment/cross-resnet-backbone	0.968446	0.000170	1	keep	cross-resnet-backbone	0.195428	0.967011	0.973477	"{""accuracy"":0.5418284188348164,""avg_profit"":0.1475246069150433,""brier"":0.5756843806505878,""log_loss"":0.9684458926578214,""n_bets"":392.0,""rps"":0.19542824701516212,""total_profit"":54.879999999999995}"	"{""accuracy"":0.5365612648221344,""avg_profit"":-0.16474576271186442,""brier"":0.5790745652712599,""log_loss"":0.9734772590666769,""n_bets"":59,""rps"":0.19557164542856756,""total_profit"":-9.72}"
2026-03-09T23:32:17.620154+00:00	70c997e	codex/experiment/cross-resnet-backbone	0.968268	0.000178	1	keep	cross-resnet-backbone	0.195370	0.967740	0.973268	"{""accuracy"":0.5415981555848869,""avg_profit"":0.10397631040284877,""brier"":0.575517496361242,""log_loss"":0.9682681254030422,""n_bets"":492.0,""rps"":0.19536997129975173,""total_profit"":48.60999999999999}"	"{""accuracy"":0.5385375494071146,""avg_profit"":-0.12652631578947365,""brier"":0.5789434301069707,""log_loss"":0.9732679486235745,""n_bets"":95,""rps"":0.1955092694944125,""total_profit"":-12.019999999999996}"
2026-03-09T23:37:34.468720+00:00	70c997e	codex/experiment/cross-resnet-backbone	0.968220	0.000048	1	keep	cross-resnet-backbone	0.195351	0.968249	0.973185	"{""accuracy"":0.5418387337019345,""avg_profit"":0.09528101415044632,""brier"":0.5754617511690668,""log_loss"":0.9682196380583236,""n_bets"":542.3333333333334,""rps"":0.1953513649105292,""total_profit"":50.60333333333333}"	"{""accuracy"":0.5395256916996047,""avg_profit"":-0.05298387096774194,""brier"":0.5788834021091167,""log_loss"":0.9731851972146569,""n_bets"":124,""rps"":0.1954894281127266,""total_profit"":-6.57}"
