,team,from,to,elo
4215,Bayern,2015-05-17,2015-05-23,1978.17529297
4216,Bayern,2015-05-24,2015-07-30,1980.29663086
4217,Bayern,2015-07-31,2015-08-06,1980.49816895
4218,Bayern,2015-08-07,2015-08-14,1980.94213867
4219,Bayern,2015-08-15,2015-08-18,1983.26049805
4220,Bayern,2015-08-19,2015-08-20,1981.07702637
4221,Bayern,2015-08-21,2015-08-22,1981.33312988
4222,Bayern,2015-08-23,2015-08-26,1983.78515625
4223,Bayern,2015-08-27,2015-08-27,1989.63708496
4224,Bayern,2015-08-28,2015-08-29,1989.93151855
4225,Bayern,2015-08-30,2015-09-12,1996.05615234
4226,Bayern,2015-09-13,2015-09-15,1997.48803711
4227,Bayern,2015-09-16,2015-09-16,1997.31030273
4228,Bayern,2015-09-17,2015-09-17,2004.68395996
4229,Bayern,2015-09-18,2015-09-19,2007.05859375
4230,Bayern,2015-09-20,2015-09-22,2008.9140625
4231,Bayern,2015-09-23,2015-09-26,2015.17321777
4232,Bayern,2015-09-27,2015-09-29,2019.47839355
4233,Bayern,2015-09-30,2015-09-30,2020.89880371
4234,Bayern,2015-10-01,2015-10-01,2015.98547363
4235,Bayern,2015-10-02,2015-10-04,2008.17993164
4236,Bayern,2015-10-05,2015-10-17,2013.86560059
4237,Bayern,2015-10-18,2015-10-20,2015.4354248
4238,Bayern,2015-10-21,2015-10-21,1993.33288574
4239,Bayern,2015-10-22,2015-10-22,1996.70507812
4240,Bayern,2015-10-23,2015-10-24,1998.60681152
4241,Bayern,2015-10-25,2015-10-30,2001.23999023
4242,Bayern,2015-10-31,2015-11-03,1994.33044434
4243,Bayern,2015-11-04,2015-11-04,1989.75671387
4244,Bayern,2015-11-05,2015-11-05,1996.22558594
4245,Bayern,2015-11-06,2015-11-07,1998.81665039
4246,Bayern,2015-11-08,2015-11-21,2000.57910156
4247,Bayern,2015-11-22,2015-11-24,2004.50756836
4248,Bayern,2015-11-25,2015-11-25,2007.22106934
4249,Bayern,2015-11-26,2015-11-26,2014.7857666
4250,Bayern,2015-11-27,2015-11-28,2010.3659668
4251,Bayern,2015-11-29,2015-12-05,2012.11035156
4252,Bayern,2015-12-06,2015-12-08,1994.74816895
4253,Bayern,2015-12-09,2015-12-09,1994.58081055
4254,Bayern,2015-12-10,2015-12-10,1999.43127441
4255,Bayern,2015-12-11,2015-12-12,1999.19958496
4256,Bayern,2015-12-13,2015-12-19,2000.36889648
4257,Bayern,2015-12-20,2016-01-22,2001.88659668
4258,Bayern,2016-01-23,2016-01-31,2003.80554199
4259,Bayern,2016-02-01,2016-02-06,2005.38952637
4260,Bayern,2016-02-07,2016-02-14,2001.16259766
4261,Bayern,2016-02-15,2016-02-17,2004.15002441
4262,Bayern,2016-02-18,2016-02-18,2006.20935059
4263,Bayern,2016-02-19,2016-02-20,2011.53735352
4264,Bayern,2016-02-21,2016-02-23,2012.51208496
4265,Bayern,2016-02-24,2016-02-25,2016.49694824
4266,Bayern,2016-02-26,2016-02-27,2011.77294922
4267,Bayern,2016-02-28,2016-03-02,2016.64990234
4268,Bayern,2016-03-03,2016-03-05,2001.05456543
4269,Bayern,2016-03-06,2016-03-08,1998.20678711
4270,Bayern,2016-03-09,2016-03-10,1998.60290527
4271,Bayern,2016-03-11,2016-03-12,1999.97473145
4272,Bayern,2016-03-13,2016-03-16,2002.55407715
4273,Bayern,2016-03-17,2016-03-17,2014.01513672
4274,Bayern,2016-03-18,2016-03-19,2014.40844727
4275,Bayern,2016-03-20,2016-04-02,2016.45727539
4276,Bayern,2016-04-03,2016-04-05,2017.39147949
4277,Bayern,2016-04-06,2016-04-06,2019.75427246
4278,Bayern,2016-04-07,2016-04-07,2023.73413086
4279,Bayern,2016-04-08,2016-04-09,2022.35437012
4280,Bayern,2016-04-10,2016-04-12,2024.8034668
4281,Bayern,2016-04-13,2016-04-13,2020.3404541
4282,Bayern,2016-04-14,2016-04-14,2023.21606445
4283,Bayern,2016-04-15,2016-04-16,2019.48681641
4284,Bayern,2016-04-17,2016-04-23,2022.16479492
4285,Bayern,2016-04-24,2016-04-27,2025.27368164
4286,Bayern,2016-04-28,2016-04-30,2017.61010742
4287,Bayern,2016-05-01,2016-05-03,2010.55029297
4288,Bayern,2016-05-04,2016-05-07,2007.35168457
4289,Bayern,2016-05-08,2016-05-08,2008.92541504
4290,Bayern,2016-05-09,2016-05-14,2008.92541504
4291,Bayern,2016-05-15,2016-07-28,2009.86755371
4292,Bayern,2016-07-29,2016-08-04,2010.39794922
4293,Bayern,2016-08-05,2016-08-16,2003.06347656
4294,Bayern,2016-08-17,2016-08-24,2004.98522949
4295,Bayern,2016-08-25,2016-08-26,2006.20507812
4296,Bayern,2016-08-27,2016-09-09,2008.87060547
4297,Bayern,2016-09-10,2016-09-13,2012.68762207
4298,Bayern,2016-09-14,2016-09-14,2016.05456543
4299,Bayern,2016-09-15,2016-09-15,2014.09851074
4300,Bayern,2016-09-16,2016-09-17,2016.23962402
4301,Bayern,2016-09-18,2016-09-21,2017.30432129
4302,Bayern,2016-09-22,2016-09-24,2019.40734863
4303,Bayern,2016-09-25,2016-09-27,2020.87963867
4304,Bayern,2016-09-28,2016-09-28,2022.33178711
4305,Bayern,2016-09-29,2016-09-29,2012.28710938
4306,Bayern,2016-09-30,2016-10-01,2016.01513672
4307,Bayern,2016-10-02,2016-10-15,2008.13525391
4308,Bayern,2016-10-16,2016-10-18,2001.14489746
4309,Bayern,2016-10-19,2016-10-19,2002.99853516
